Rank,Country/Territory,GDP(US$million)
,World,87751541
1.0,United States,21427700
2.0,China[n 9],14342903
3.0,Japan,5081770
4.0,Germany,3845630
5.0,India,2875142
6.0,United Kingdom,2827113
7.0,France,2715518
8.0,Italy,2001244
9.0,Brazil,1839758
10.0,Canada,1736426
11.0,Russia[n 4],1699877
12.0,South Korea,1642383
13.0,Spain,1394116
14.0,Australia,1392681
15.0,Mexico,1258287
16.0,Indonesia,1119191
17.0,Netherlands,909070
18.0,Saudi Arabia,792967
19.0,Turkey,754412
20.0,Switzerland,703082
21.0,Poland,592164
22.0,Taiwan (2017),574905
23.0,Thailand,543650
24.0,Sweden,530833
25.0,Belgium,529607
26.0,Argentina,449663
27.0,Nigeria,448120
28.0,Austria,446315
29.0,Iran (2017),445345
30.0,United Arab Emirates,421142
31.0,Norway,403336
32.0,Israel,395099
33.0,Ireland,388699
34.0,Philippines,376796
35.0,Singapore,372063
36.0,Hong Kong (China),366030
37.0,Malaysia,364702
38.0,South Africa,351432
39.0,Denmark,348078
40.0,Colombia,323803
41.0,Egypt,303175
42.0,Bangladesh,302571
43.0,Chile,282318
44.0,Pakistan,278222
45.0,Finland,268761
46.0,Vietnam,261921
47.0,Romania,250077
48.0,Czech Republic,246489
49.0,Portugal,237686
50.0,Iraq,234094
51.0,Peru,226848
52.0,Greece,209853
53.0,New Zealand,206929
54.0,Qatar,183466
55.0,Kazakhstan,180162
56.0,Algeria,169988
57.0,Hungary,160967
58.0,Ukraine,153781
59.0,Kuwait,134761
60.0,Morocco[n 10],118725
61.0,Ecuador,107436
62.0,Slovak Republic,105422
63.0,Puerto Rico (United States),104989
64.0,Cuba (2018),100023
65.0,Ethiopia,96108
66.0,Kenya,95503
67.0,Angola,94635
68.0,Dominican Republic,88941
69.0,Sri Lanka,84009
70.0,Oman,76983
71.0,Guatemala,76710
72.0,Myanmar,76086
73.0,Luxembourg,71105
74.0,Bulgaria,67927
75.0,Ghana,66984
76.0,Panama,66801
77.0,Tanzania[n 11],63177
78.0,Belarus,63080
79.0,Costa Rica,61774
80.0,Croatia,60416
81.0,Cote d'Ivoire,58792
82.0,Uzbekistan,57921
83.0,Uruguay,56046
84.0,Lithuania,54219
85.0,Macau (China),53859
86.0,Slovenia,53742
87.0,Lebanon,53367
88.0,Libya,52076
89.0,Serbia,51409
90.0,Azerbaijan,48048
91.0,"Congo, Democratic Republic of the",47320
92.0,Jordan,43744
93.0,Bolivia,40895
94.0,Turkmenistan (2018),40761
95.0,Tunisia,38798
96.0,Cameroon,38760
97.0,Bahrain,38574
98.0,Paraguay,38145
99.0,Uganda,34387
100.0,Latvia,34117
101.0,Estonia,31387
102.0,Nepal,30641
103.0,Cambodia,27089
104.0,El Salvador,27023
105.0,Honduras,25095
106.0,Papua New Guinea,24970
107.0,Cyprus[n 12],24565
108.0,Iceland,24188
109.0,Trinidad and Tobago,24100
110.0,Senegal,23578
111.0,Zambia,23065
112.0,Zimbabwe,21441
113.0,Bosnia and Herzegovina,20048
114.0,Afghanistan,19101
115.0,Sudan,18902
116.0,Botswana,18341
117.0,Laos,18174
118.0,Georgia[n 13],17743
119.0,Mali,17510
120.0,Gabon,16658
121.0,Jamaica,16458
122.0,Burkina Faso,15746
123.0,Albania,15278
124.0,Mozambique,14934
125.0,Malta,14786
126.0,Palestine (2018)[n 8],14616
127.0,Benin,14391
128.0,Mauritius,14180
129.0,Madagascar,14084
130.0,Mongolia,13853
131.0,Armenia,13673
132.0,Guinea,13590
133.0,Brunei,13469
134.0,Niger,12928
135.0,"Bahamas, The",12827
136.0,North Macedonia,12695
137.0,Nicaragua,12521
138.0,Namibia,12367
139.0,Moldova[n 14],11955
140.0,Chad,11315
141.0,Equatorial Guinea,11027
142.0,"Congo, Republic of the",10821
143.0,Rwanda,10122
145.0,Haiti,8499
146.0,Kyrgyzstan,8455
147.0,Tajikistan,8117
148.0,Kosovo,7926
149.0,Malawi,7667
150.0,Mauritania,7594
151.0,Maldives,5729
152.0,Fiji,5536
153.0,Montenegro,5495
154.0,Togo,5460
155.0,Barbados,5209
156.0,Eswatini,4405
157.0,Guyana,4280
158.0,Suriname,3985
159.0,Sierra Leone,3941
160.0,Djibouti,3319
161.0,Andorra,3154
162.0,Liberia,3071
163.0,Burundi,3012
164.0,Lesotho,2460
165.0,Bhutan (2018),2447
166.0,Central African Republic,2220
167.0,Saint Lucia,2122
168.0,Cabo Verde,1982
169.0,Belize,1880
170.0,"Gambia, The",1764
172.0,Antigua and Barbuda,1728
173.0,Seychelles,1699
174.0,Timor-Leste,1674
175.0,San Marino (2018),1638
176.0,Solomon Islands,1425
177.0,Guinea-Bissau,1340
178.0,Grenada,1228
179.0,Comoros,1186
180.0,Saint Kitts and Nevis,1051
181.0,Vanuatu,917
182.0,Samoa,851
183.0,Saint Vincent and the Grenadines,825
184.0,Dominica,596
185.0,Tonga (2018),450
186.0,Sao Tome and Principe,429
187.0,"Micronesia, Federated States of (2018)",402
188.0,Palau (2018),284
189.0,Marshall Islands (2018),221
190.0,Kiribati,195
191.0,Nauru,118
192.0,Tuvalu,47
