Rank,University,Location
1,Massachusetts Institute of Technology (MIT),United States
2,Stanford University,United States
3,Harvard University,United States
4,California Institute of Technology (Caltech),United States
5,University of Oxford,United Kingdom
6,ETH Zurich (Swiss Federal Institute of Technology),Switzerland
7,University of Cambridge,United Kingdom
8,Imperial College London,United Kingdom
9,University of Chicago,United States
10,UCL (University College London),United Kingdom
11,National University of Singapore (NUS),Singapore
12,Princeton University,United States
13,"Nanyang Technological University, Singapore (NTU)",Singapore
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland
15,Tsinghua University,China
16,University of Pennsylvania,United States
18,Yale University,United States
17,Cornell University,United States
19,Columbia University,United States
20,University of Edinburgh,United Kingdom
21,University of Michigan-Ann Arbor,United States
22,University of Hong Kong (UKU),Hong Kong
23,Peking University,China
24,University of Tokyo,Japan
25=,Johns Hopkins University,United States
25=,University of Toronto,Canada
27=,Hong Kong University of Science and Technology (HKUST),Hong Kong
27=,University of Manchester,United Kingdom
29,Northwestern University,United States
30,"University of California, Berkeley (UCB)",United States
31=,Australian National University,Australia
31=,King's College London,United Kingdom
31=,McGill University,Canada
34,Fudan University,China
35,New York University (NYU),United States
36,"University of California, Los Angeles (UCLA)",United States
37,Seoul National University,South Korea
38,Kyoto University,Japan
39,KAIST - Korea Advanced Institute of Science & Technology,South Korea
40,University of Sydney,Australia
41,University of Melbourne,Australia
42,Duke University,United States
43,Chinese University of Hong Kong (CUHK),Hong Kong
44,University of New South Wales (UNSW Sydney),Australia
45,University of British Columbia,Canada
46,University of Queensland,Australia
47,Shanghai Jiao Tong University,China
48,City University of Hong Kong,Hong Kong
49,London School of Economics and Political Science (LSE),United Kingdom
50,Technical University of Munich,Germany
51,Carnegie Mellon University,United States
52,Universite PSL,France
53,Zhejiang University,China
54,"University of California, San Diego (UCSD)",United States
55,Monash University,Australia
56,Tokyo Institute of Technology,Japan
57,Delft University of Technology,Netherlands
58,University of Bristol,United Kingdom
59,Universiti Malaya (UM),Malaysia
60,Brown University,United States
61,University of Amsterdam,Netherlands
62,University of Warwick,United Kingdom
63,Ludwig-Maximilians-Universität München,Germany
64,Ruprecht-Karls-Universitat Heidelberg,Germany
65,University of Wisconsin-Madison,United States
66=,National Taiwan University (NTU),Taiwan
66=,Universidad de Buenos Aires (UBA),Argentina
68,Ecole Polytechnique,France
69=,Korea University,South Korea
69=,University of Zurich,Switzerland
71,University of Texas at Austin,United States
72=,Osaka University,Japan
72=,University of Washington,United States
74,Lomonosov Moscow State University,Russia
75,Hong Kong Polytechnic University,Hong Kong
76,University of Copenhagen,Denmark
77=,Pohang University of Science and Technology (POSTECH),South Korea
77=,University of Glasgow,United Kingdom
79,Tohoku University,Japan
80,Georgia Institute of Technology,United States
81,University of Auckland,New Zealand
82,University of Illinois at Urbana-Champaign,United States
83,Sorbonne University,France
84,KU Leuven,Belgium
86,Durham University,United Kingdom
85,Yonsei University,South Korea
87,University of Birmingham,United Kingdom
88,Sungkyunkwan University (SKKU),South Korea
89,Rice University,United States
90,University of Southampton,United Kingdom
91,University of Leeds,United Kingdom
92,University of Western Australia,Australia
93=,University of Sheffield,United Kingdom
93=,University of Science and Technology of China,China
95,"University of North Carolina, Chapel Hill",United States
96,University of St Andrews,United Kingdom
97,Lund University,Sweden
98,KTH Royal Institute of Technology,Sweden
99,University of Nottingham,United Kingdom
100,Universidad Nacional Autónoma de México (UNAM),Mexico
